Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
DYAX ,1776497,14.091501,12/2/2014,132530840.3,13.93,14.23,2181439,buy,Dilbert
DYN  ,951929,32.776055,12/2/2014,123157533.4,32.39,33.46,1974411,buy,Dilbert
E    ,23489,39.06003,12/2/2014,1818951311,38.82,39.46,18716988,buy,Dilbert
EA   ,200043,43.465699,12/2/2014,308690584.8,43.16,43.82,2944111,buy,Dilbert
EAD  ,528,8.984,12/2/2014,71031408.06,8.96,9.05,470591,buy,Dilbert
EADSY,20641,15.03388,12/2/2014,3174138442,99,99,11594304,buy,Dilbert
EARN ,32842,17.92126,12/2/2014,9061350.846,17.92,17.99,50478,buy,Dilbert
EAT  ,147979,56.202346,12/2/2014,63195015.68,55.32,56.59,829603,buy,Dilbert
EBAY ,192724,55.087285,12/2/2014,1237478544,54.48,55.39,5977189,buy,Dilbert
EBF  ,5345,13.229217,12/2/2014,25875525.22,13.14,13.38,88235,buy,Dilbert
EBIO ,2000,11.384,12/2/2014,15728660.82,10.45,11.445,3640,buy,Dilbert
EBIX ,52000,16.230403,12/2/2014,36722477.86,16.25,16.27,208224,buy,Dilbert
EBKDY,5380,13.390611,12/2/2014,852134196.8,99,99,1117700,buy,Dilbert
EBS  ,9680,25.753026,12/2/2014,37300119.55,25.6,25.95,217476,buy,Dilbert
EBSB ,3204,10.9992,12/2/2014,54463314.13,10.97,11.005,97599,buy,Dilbert
EC   ,36369,19.711127,12/2/2014,2103216019,19.31,20.35,1384044,buy,Dilbert
ECA  ,408054,15.708344,12/2/2014,744985577.6,15.4,17.79,12455985,buy,Dilbert
ECH  ,71,41.01,12/2/2014,8566678.859,41.01,41.01,273251,buy,Dilbert
ECHO ,7373,27.952727,12/2/2014,23346088.21,27.91,28.09,101533,buy,Dilbert
ECIFY,960,6.011222,12/2/2014,9380583805,99,99,13115738,buy,Dilbert
ECL  ,122895,105.368772,12/2/2014,297119421.7,104,106.44,2826612,buy,Dilbert
ECOL ,12357,40.952962,12/2/2014,21198201.1,40.21,41.21,219263,buy,Dilbert
ECOM ,10958,17.845162,12/2/2014,23880103.73,17.63,18.01,287924,buy,Dilbert
ECPCY,22035,10.466286,12/2/2014,308711216.9,99,99,4739506,buy,Dilbert
ECPG ,5127,41.881341,12/2/2014,25757222.95,41.09,42.31,392062,buy,Dilbert
ECR  ,128126,9.369452,12/2/2014,163816863.7,8.48,9.48,911023,buy,Dilbert
ECYT ,33130,6.278896,12/2/2014,41187062.32,6.21,6.33,823708,buy,Dilbert
ED   ,101753,63.963277,12/2/2014,292267488.3,62.66,64.24,2438362,buy,Dilbert
EDC  ,200,24.88,12/2/2014,9935982.272,24.87,24.89,2764243,buy,Dilbert
EDD  ,400,11.3525,12/2/2014,71318500.42,11.28,11.42,1513338,buy,Dilbert
EDE  ,11829,27.9692,12/2/2014,43027169.88,27.67,28.07,106370,buy,Dilbert
EDN  ,1715,12.065385,12/2/2014,29862895.48,11.9,12.1,50157,buy,Dilbert
EDPFY,9024,41.449417,12/2/2014,307438801.8,99,99,940953,buy,Dilbert
EDR  ,24355,34.776435,12/2/2014,47360652.17,34.54,34.91,684939,buy,Dilbert
EDU  ,2351,21.857619,12/2/2014,99,21.81,22,714491,buy,Dilbert
